Threads,Time
1,0.237858
2,0.287982
4,0.285015
5,0.264524
10,0.278769
20,0.313695
25,0.382877
50,0.371391
100,0.411391
125,0.445086
200,0.489542
250,0.455582
400,0.471423
500,0.457741
625,0.470919
1000,0.500230
1250,0.513854
2000,0.577249
2500,0.574662
5000,0.820009
10000,0.921109
12500,1.036259
20000,1.385721
25000,1.486087
