Threads,Time
1,0.001122
2,0.001379
4,0.002200
5,0.001828
10,0.002678
20,0.003706
25,0.050184
50,0.004260
100,0.008648
125,0.010286
200,0.014236
250,0.016762
400,0.022220
500,0.033925
625,0.032945
1000,0.049309
1250,0.064412
2000,0.089375
2500,0.111442
5000,0.214366
10000,0.406503
12500,0.541296
20000,0.833149
25000,1.003375
