Threads,Time
1,0.007147
2,0.008151
4,0.008706
5,0.009177
10,0.009147
20,0.011097
25,0.011819
50,0.012920
100,0.015873
125,0.017971
200,0.023257
250,0.024069
400,0.026026
500,0.039519
625,0.041187
1000,0.056176
1250,0.063345
2000,0.089059
2500,0.120929
5000,0.219329
10000,0.403501
12500,0.547373
20000,0.817166
25000,1.003806
