Threads,Time
1,0.000401
2,0.000628
4,0.001328
5,0.001058
10,0.001652
20,0.002415
25,0.003999
50,0.005082
100,0.007385
125,0.008738
200,0.012796
250,0.014408
500,0.028845
1000,0.044635
