Threads,Time
1,0.004893
2,0.005517
4,0.005101
5,0.005244
10,0.005935
20,0.008146
25,0.008109
50,0.010487
100,0.013961
125,0.013518
200,0.018344
250,0.020212
400,0.031489
500,0.030049
625,0.036755
1000,0.046831
1250,0.058259
2000,0.099721
2500,0.099679
5000,0.197922
10000,0.393003
