Threads,Time
1,0.035194
2,0.044695
4,0.041291
5,0.048777
10,0.055982
20,0.053386
25,0.050184
50,0.053871
100,0.059121
125,0.062003
200,0.067601
250,0.070644
400,0.071840
500,0.078356
625,0.082393
1000,0.109526
1250,0.120780
2000,0.156920
2500,0.181465
5000,0.301290
10000,0.474568
12500,0.557666
20000,0.838532
25000,0.978089
