Threads,Time
1,0.001014
2,0.001324
4,0.001415
5,0.001612
10,0.002406
20,0.002760
25,0.004496
50,0.008831
100,0.007767
125,0.008071
200,0.012943
250,0.014932
500,0.028845
1000,0.044635
