Threads,Time
1,0.000466
2,0.000578
4,0.001378
5,0.000972
10,0.001894
20,0.003109
25,0.003075
50,0.005440
100,0.007461
125,0.007259
200,0.013254
250,0.016537
400,0.022498
500,0.027205
625,0.033319
1000,0.044353
1250,0.055390
2000,0.092787
2500,0.112675
5000,0.212656
10000,0.428269
